thau_category	toks
Economic class	businesses (52), companies (49), small (41), firms (37), management (16), british (14), business (12), large (8), banks (7), energy (7), local (7)
Geography	cities (53), areas (49), towns (45), local (40), wales (35), communities (34), scotland (33), community (26), regions (26), country (25), england (25)
Religion	faith (3), churches (2), communities (2), sickness (2), groups (1)
none	people (59), unions (53), country (51), trade (41), community (28), everyone (26), individuals (21), public (20), individual (18), police (17)
